City,Tracts,Precinct,"Joseph R. Biden, Jr.",Percentage of Total,Donald J. Trump,Percentage of Total,Total Votes Cast,Estimate Total Population,Estimate Mexican Population,Estimate Puerto Rican Population,Estimate Cuban Population,Estimate Other Hispanic or Latino,LatinX Pop Percentage,Estimate Voting Population: 18+,City LatinX Pop %,City Dem Votes %,City Rep Votes %
Springfield,8007,"1-A, 1-B",913,71.89%,293,23.07%,1270,4263,59,3325,35,215,85.25%,2720,,,
Springfield,8008,1-E,533,73.52%,172,23.72%,725,2123,71,1386,0,286,82.10%,1234,,,
Springfield,8009,"1-D, 1-F",946,75.80%,230,18.43%,1248,4250,0,3394,33,78,82.47%,2850,,,
Springfield,8011,"1-H, 3-B",958,78.20%,209,17.06%,1225,2896,4,1678,58,121,64.26%,2272,,,
Springfield,8012,1-G,542,78.21%,120,17.32%,693,2498,38,1477,0,105,64.85%,1765,,,
Springfield,8013,"4-A,4-B",1391,84.82%,203,12.38%,1640,5143,15,1975,7,182,42.37%,3706,,,
Springfield,8014,"4-D,4-G, 8-C",1939,80.49%,361,14.99%,2409,5788,35,2013,108,408,44.30%,3887,,,
Springfield,8015,"5-B, 5-E, 8-B, 8-F, 8-G, 8-H",4611,72.34%,1510,23.69%,6374,13049,51,4768,0,230,38.69%,9632,,,
Springfield,8016,"5-C, 5-H, 5-D, 5-F, 5-G,7-E, 7-F, 7-G, 7-H",6383,63.93%,3122,31.27%,9985,22338,215,4343,59,982,25.06%,17029,,,
Springfield,8017,"4-F,4-H, 5-A",1452,85.71%,178,10.51%,1694,7677,123,1827,6,267,28.96%,5705,,,
Springfield,8018,"4-E, 4-C",1029,83.86%,135,11.00%,1227,4222,9,2472,0,115,61.49%,2865,,,
Springfield,8019,"3-A, 3-D",893,76.52%,199,17.05%,1167,7338,90,3612,0,297,54.50%,4935,,,
Springfield,8020,3-C,325,75.41%,89,20.65%,431,2963,0,2237,0,69,77.83%,2086,,,
Springfield,8021,"6-A, 6-B, 6-C",1980,70.87%,657,23.51%,2794,6271,48,1625,0,420,33.38%,4375,,,
Springfield,8022,"3-F, 3-E",771,72.06%,225,21.03%,1070,2887,0,1495,0,152,57.05%,1950,,,
Springfield,8023,"6-E, 3-G, 3-H",1343,70.98%,433,22.89%,1892,6868,19,3217,0,545,55.05%,4333,,,
Springfield,8024,7-A,772,65.42%,367,31.10%,1180,3852,0,479,21,81,15.08%,3117,,,
Springfield,8025,"6-H, 7-B, 7-C, 7-D",3193,62.38%,1687,32.96%,5119,6487,15,1250,0,156,21.91%,4970,,,
Springfield,8026,"6-D, 6-F, 6-G",2053,67.53%,864,28.42%,3040,9522,12,3218,29,498,39.46%,6783,,,
Southwick,8131,"1,2,3",2360,40.92%,3221,55.84%,5768,9720,50,258,0,31,3.49%,7711,3.49%,40.92%,55.84%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Demographic Link,,,,,,,,,,,,,,,,,
